iter	Passed	Remaining
1018	2638	1479
1019	2641	1476
1020	2644	1473
1021	2646	1470
1022	2649	1468
1023	2651	1465
1024	2654	1462
1025	2656	1459
1026	2659	1456
1027	2661	1453
1028	2663	1450
1029	2669	1448
1030	2672	1446
1031	2675	1443
1032	2677	1440
1033	2679	1437
1034	2682	1434
1035	2684	1431
1036	2687	1428
1037	2689	1425
1038	2692	1422
1039	2694	1419
1040	2697	1416
1041	2702	1415
1042	2704	1412
1043	2707	1409
1044	2709	1406
1045	2712	1403
1046	2714	1400
1047	2717	1397
1048	2719	1394
1049	2724	1393
1050	2727	1390
1051	2730	1387
1052	2732	1384
1053	2734	1381
1054	2737	1378
1055	2739	1375
1056	2741	1372
1057	2741	1372
1058	2744	1366
1059	2746	1363
1060	2748	1360
1061	2751	1357
1062	2751	1357
1063	2753	1351
1064	2756	1348
1065	2758	1345
1066	2758	1345
1067	2760	1340
1068	2763	1337
1069	2765	1333
1070	2765	1333
1071	2767	1328
1072	2767	1328
1073	2767	1328
1074	2767	1328
1075	2767	1328
1076	2769	1313
1077	2771	1310
1078	2774	1308
1079	2776	1305
1080	2779	1302
1081	2781	1299
1082	2783	1296
1083	2786	1293
1084	2788	1290
1085	2790	1287
1086	2790	1287
1087	2790	1287
1088	2793	1278
1089	2793	1278
1090	2795	1272
1091	2797	1269
1092	2797	1269
1093	2797	1269
1094	2797	1269
1095	2800	1259
1096	2803	1256
1097	2805	1253
1098	2808	1250
1099	2810	1247
1100	2813	1244
1101	2815	1241
1102	2818	1238
1103	2820	1235
1104	2823	1232
1105	2825	1229
1106	2831	1228
1107	2834	1225
1108	2836	1222
1109	2839	1220
1110	2841	1217
1111	2844	1214
1112	2846	1211
1113	2849	1208
1114	2851	1205
1115	2854	1202
1116	2856	1199
1117	2859	1196
1118	2864	1195
1119	2867	1192
1120	2869	1189
1121	2872	1186
1122	2874	1183
1123	2877	1180
1124	2879	1177
1125	2883	1175
1126	2887	1173
1127	2889	1170
1128	2892	1167
1129	2894	1164
1130	2897	1161
1131	2897	1161
1132	2901	1156
1133	2903	1153
1134	2905	1150
1135	2905	1150
1136	2908	1145
1137	2910	1142
1138	2913	1139
1139	2915	1136
1140	2918	1133
1141	2920	1130
1142	2922	1127
1143	2925	1124
1144	2927	1121
1145	2930	1119
1146	2932	1116
1147	2935	1113
1148	2937	1110
1149	2939	1107
1150	2942	1104
1151	2944	1101
1152	2946	1098
1153	2948	1095
1154	2951	1092
1155	2953	1089
1156	2956	1086
1157	2958	1083
1158	2960	1080
1159	2962	1077
1160	2965	1075
1161	2967	1072
1162	2970	1069
1163	2972	1066
1164	2972	1066
1165	2975	1060
1166	2977	1057
1167	2979	1054
1168	2982	1052
1169	2982	1052
1170	2984	1046
1171	2987	1043
1172	2989	1040
1173	2991	1037
1174	2993	1034
1175	2996	1031
1176	2998	1028
1177	3000	1025
1178	3003	1023
1179	3005	1020
1180	3007	1017
1181	3010	1014
1182	3012	1011
1183	3019	1010
1184	3021	1007
1185	3024	1004
1186	3026	1001
1187	3026	1001
1188	3026	1001
1189	3030	993
1190	3033	990
1191	3037	988
1192	3045	987
1193	3048	984
1194	3050	981
1195	3050	981
1196	3050	981
1197	3053	973
1198	3055	970
1199	3055	970
1200	3057	964
1201	3057	964
1202	3060	959
1203	3063	956
1204	3065	953
1205	3065	953
1206	3065	953
1207	3065	953
1208	3067	942
1209	3070	939
1210	3070	939
1211	3072	933
1212	3075	931
1213	3077	928
1214	3079	925
1215	3082	922
1216	3084	919
1217	3087	916
1218	3089	913
1219	3091	910
1220	3094	908
1221	3096	905
1222	3098	902
1223	3100	899
1224	3103	896
1225	3105	893
1226	3107	890
1227	3110	887
1228	3112	885
1229	3114	882
1230	3117	879
1231	3119	876
1232	3122	873
1233	3124	870
1234	3126	867
1235	3129	864
1236	3131	862
1237	3133	859
1238	3136	856
1239	3138	853
1240	3138	853
1241	3138	853
1242	3138	853
1243	3140	842
1244	3143	839
1245	3143	839
1246	3145	833
1247	3147	830
1248	3150	828
1249	3152	825
1250	3155	822
1251	3157	819
1252	3159	816
1253	3161	813
1254	3164	811
1255	3170	809
1256	3172	806
1257	3175	803
1258	3177	800
